time,open,high,low,close,volume
2021-06-15,66.93,67.52,66.21,67.39,1420700
2021-06-16,67.19,69.48,67.19,68.17,2898400
2021-06-17,67.52,68.83,66.86,68.3,1557000
2021-06-18,68.5,71.45,68.37,71.12,3234900
2021-06-21,70.8,70.93,69.48,69.88,2107900
2021-06-22,70.21,71.12,69.81,70.53,1481900
2021-06-23,70.8,72.76,70.14,71.91,2248600
2021-06-24,72.04,72.63,70.66,72.57,1143400
2021-06-25,72.57,73.94,71.39,73.81,1688800
2021-06-28,73.88,74.07,72.83,73.81,1524500
2021-06-29,73.42,74.73,73.09,74.73,1853100
2021-06-30,74.73,76.83,74.73,76.3,2768000
2021-07-01,76.5,76.56,75.38,76.3,1836400
2021-07-02,76.3,76.43,74.73,75.32,1727200
2021-07-05,74.66,74.66,72.7,74.47,2049100
2021-07-06,73.75,75.38,73.42,73.42,1669600
2021-07-07,73.42,74.34,69.48,74.34,2679800
2021-07-08,72.89,74.07,71.45,72.76,1384100
2021-07-09,72.11,72.83,70.01,71.98,2936900
2021-07-12,71.78,71.78,67.58,70.21,2480600
2021-07-13,70.07,70.07,66.93,67.78,1686000
2021-07-14,67.78,67.85,65.55,66.73,2251700
2021-07-15,65.68,68.5,65.68,67.19,2319400
2021-07-16,67.19,67.78,66.21,67.19,1467300
2021-07-19,65.55,65.68,62.86,63.58,2542200
2021-07-20,64.11,66.21,61.29,65.68,2386000
2021-07-21,65.22,65.88,64.44,64.9,1463700
2021-07-22,64.83,66.01,64.24,65.75,1455800
2021-07-23,65.09,65.42,63.58,63.58,1700300
2021-07-26,63.26,63.91,62.73,62.93,1264200
2021-07-27,63.91,63.98,62.27,62.27,2654200
2021-07-28,62.34,63.58,62.34,63.58,1490800
2021-07-29,63.85,64.17,63.58,64.17,1191800
2021-07-30,63.78,64.76,63.72,64.24,1354600
2021-08-02,63.58,64.7,63.19,63.58,1285000
2021-08-03,63.65,64.76,63.58,64.76,1265700
2021-08-04,65.03,65.09,64.31,64.57,1160300
2021-08-05,64.24,65.22,64.17,65.16,1127700
2021-08-06,65.42,65.42,64.31,64.31,1114400
2021-08-09,64.31,64.83,64.04,64.44,1228900
2021-08-10,64.9,65.03,64.57,64.9,1556400
2021-08-11,65.09,66.67,64.96,65.88,1711800
2021-08-12,65.88,66.08,65.22,65.49,986600
2021-08-13,65.49,65.49,64.44,65.29,1328900
2021-08-16,65.29,65.94,64.9,65.94,1992400
2021-08-17,67.19,67.52,66.21,66.21,1688700
2021-08-18,66.21,67.19,65.35,66.21,1848000
2021-08-19,66.01,67.52,65.42,67.39,2576600
2021-08-20,66.34,66.8,65.16,65.62,1798500
2021-08-23,64.9,65.55,63.32,63.78,2136200
2021-08-24,65.03,65.03,63.26,63.58,1069100
2021-08-25,63.58,64.9,63.45,63.91,1069200
2021-08-26,64.11,64.9,63.45,63.45,1076900
2021-08-27,62.93,64.57,62.93,64.11,1106600
2021-08-30,64.5,65.16,64.11,65.09,1221700
2021-08-31,65.22,65.49,64.44,65.16,747500
2021-09-01,65.16,65.49,62.93,65.16,907500
2021-09-06,65.16,65.62,65.16,65.55,905000
2021-09-07,65.49,66.08,65.42,65.55,1041800
2021-09-08,65.55,65.62,63.45,65.35,863000
2021-09-09,65.35,65.62,64.63,65.09,817200
2021-09-10,65.42,65.42,64.63,65.03,857800
2021-09-13,64.76,64.9,64.31,64.31,1043100
2021-09-14,64.31,64.57,63.58,64.44,1230500
2021-09-15,64.44,64.44,63.65,63.65,798500
2021-09-16,64.83,64.83,63.91,64.31,570400
2021-09-17,63.91,64.5,63.72,63.72,1002200
2021-09-20,63.78,66.21,63.78,65.29,1277900
2021-09-21,65.22,65.42,64.24,64.24,862000
2021-09-22,64.5,65.22,64.24,65.22,362800
2021-09-23,65.29,65.81,64.57,65.22,676000
2021-09-24,65.22,65.42,65.09,65.22,454700
2021-09-27,65.22,65.35,64.24,64.24,465500
2021-09-28,64.11,65.09,63.91,65.03,484500
2021-09-29,65.22,65.22,63.91,64.57,565000
2021-09-30,64.57,64.63,63.65,63.72,1199900
2021-10-01,63.78,64.37,62.8,62.86,1611900
2021-10-04,62.93,63.26,61.88,62.01,913400
2021-10-05,62.34,63.0,62.34,62.67,973700
2021-10-06,62.67,62.67,62.14,62.67,691200
